Date,Calgary (CER) Unemployment rate (%),Alberta Unemployment Rate (%),Canada Unemployment rate (%),Calgary (CER) Total Employment ('000 Persons),Calgary (CER) Total Employment month-over-month change ('000 Persons),Calgary (CER) Total Employment year-over-year change ('000 Persons),Calgary (CMA) Average Hourly Wage Rate ($),City of Calgary Building Permits Residential Value ($),City of Calgary Building Permits Non-Residential Value ($),Calgary (City) Total Housing Starts (units),Calgary (CMA) Total Housing Starts (units),Calgary (CER) Retail Sales ($billions),Calgary (CMA) Inflation Rate (%change)
2019/09,0.08,0.07,0.06,902,-1.2,39.6,33.10,291049464.60,109225630.63,1398,1565,2.74,0.01
2019/10,0.07,0.07,0.06,896.5,-5.5,32.8,33.10,350767061.08,113591082.81,714,818,2.76,0.01
2019/11,0.06,0.06,0.05,898.4,1.9,31.3,33.40,774775914.39,346422454.26,805,954,2.74,0.02
2019/12,0.06,0.06,0.05,894.2,-4.2,28,33.20,141530532.01,154996810.49,1968,2130,2.83,0.02
2020/01,0.07,0.07,0.06,883,-11.2,16.9,33.40,134761055.88,74236876.97,589,642,2.82,0.03
2020/02,0.07,0.07,0.06,870.4,-12.6,5.3,33.50,143558668.77,190549440.63,515,646,2.76,0.02
2020/03,0.09,0.08,0.07,846.7,-23.7,-17.5,34.10,151196484.76,59327472.77,814,944,2.33,0.01
2020/04,0.11,0.10,0.10,805.9,-40.8,-70.7,34.60,185618151.22,110951148.81,481,575,1.94,-0.01
2020/05,0.13,0.13,0.12,776.4,-29.5,-113.8,35.40,156204779.26,77246942.75,640,721,2.45,0.00
2020/06,0.15,0.15,0.13,772.8,-3.6,-131.2,35.80,224262060.18,48472665.96,288,425,2.85,0.02
2020/07,0.15,0.14,0.12,805.5,32.7,-104.6,35.50,211737110.95,113262105.98,650,737,2.93,0.01
2020/08,0.14,0.13,0.11,831,25.5,-72.2,35.10,235797326.46,96331480.96,641,736,2.77,0.01
2020/09,0.13,0.12,0.10,851.5,20.5,-50.5,34.90,216034430.10,105098366.06,921,1035,3.06,0.01
2020/10,0.12,0.11,0.09,864.5,13,-32,35.00,195635608.88,129863945.89,869,982,3.06,0.01
2020/11,0.11,0.10,0.08,875.5,11,-22.9,34.80,222826262.05,61962290.83,827,952,3.08,0.01
2020/12,0.10,0.10,0.08,871.3,-4.2,-22.9,34.70,226550613.90,46438250.01,704,840,3.04,0.01
2021/01,0.10,0.11,0.09,860.3,-11,-22.7,34.60,206940210.06,87912540.63,1005,1122,3.07,0.01
2021/02,0.11,0.11,0.09,848.3,-12,-22.1,35.10,231245953.88,437127919.01,499,642,3.09,0.00
2021/03,0.11,0.11,0.09,845,-3.3,-1.7,34.90,312017814.55,112176383.31,902,1058,3.07,0.02
2021/04,0.10,0.10,0.08,846.4,1.4,40.5,34.80,301073825.66,107009210.88,1105,1299,3.06,0.03
2021/05,0.09,0.09,0.08,853.4,7,77,34.40,307002831.70,148792517.98,1275,1581,2.96,0.03
2021/06,0.09,0.09,0.08,858.6,5.2,85.8,34.10,378323744.00,684724047.67,932,1173,3.03,0.03
2021/07,0.09,0.08,0.08,863.3,4.7,57.8,34.20,383846866.75,52246246.64,1225,1404,2.96,0.04
2021/08,0.10,0.08,0.08,870,6.7,39,34.20,259847889.81,86912061.16,912,1110,2.98,0.05
2021/09,0.09,0.08,0.07,882.3,12.3,30.8,34.70,312576138.22,45999714.31,829,1026,3.07,0.04
2021/10,0.08,0.08,0.07,896.2,13.9,31.7,34.70,291332993.64,92417825.01,1064,1255,3.22,0.04
2021/11,0.08,0.07,0.06,894.2,-2,18.7,35.00,320741900.68,76646032.45,2018,2192,3.24,0.04
2021/12,0.07,0.07,0.06,894.5,0.3,23.2,35.10,271638691.47,111700605.04,956,1155,3.13,0.05
2022/01,0.08,0.07,0.06,886.2,-8.3,25.9,35.20,287914191.13,81851763.83,465,561,3.15,0.05
2022/02,0.07,0.07,0.06,894.7,8.5,46.4,35.10,246566265.73,127282963.01,1011,1159,3.21,0.06
2022/03,0.08,0.07,0.06,895.4,0.7,50.4,35.30,452168378.55,148310081.80,1090,1242,3.26,0.07
2022/04,0.07,0.07,0.06,907.6,12.2,61.2,35.60,370968646.44,120213449.84,1299,1511,3.27,0.07
2022/05,0.06,0.06,0.05,918.8,11.2,65.4,36.10,356251814.85,128730131.06,1577,1769,3.44,0.08
2022/06,0.05,0.06,0.05,938.7,19.9,80.1,35.90,435749200.72,205225501.58,1666,1883,3.45,0.10
2022/07,0.05,0.05,0.05,957.1,18.4,93.8,35.50,320745705.12,107270956.47,1630,1879,3.59,0.08
2022/08,0.05,0.05,0.05,963.8,6.7,93.8,35.40,335054375.09,292574063.92,808,1182,3.52,0.07
1976/08,,,,,,,,,,,707,,0.07
1976/09,,,,,,,,,,,692,,0.07
1976/10,,,,,,,,,,,1228,,0.07
1976/11,,,,,,,,,,,1055,,0.06
1976/12,,,,,,,,,,,654,,0.06
1977/01,,,,,,,,,,,329,,0.07
1972/01,,,,,,,,,,,322,,0.04
1972/02,,,,,,,,,,,527,,0.04
1972/03,,,,,,,,,,,590,,0.03
1972/04,,,,,,,,,,,580,,0.04
1972/05,,,,,,,,,,,915,,0.04
1972/06,,,,,,,,,,,1147,,0.04
1972/07,,,,,,,,,,,609,,0.04
1972/08,,,,,,,,,,,567,,0.04
1972/09,,,,,,,,,,,455,,0.04
1972/10,,,,,,,,,,,412,,0.05
1972/11,,,,,,,,,,,532,,0.05
1972/12,,,,,,,,,,,391,,0.05
1973/01,,,,,,,,,,,454,,0.06
1973/02,,,,,,,,,,,424,,0.05
1973/03,,,,,,,,,,,571,,0.06
1973/04,,,,,,,,,,,710,,0.06
1973/05,,,,,,,,,,,641,,0.06
1973/06,,,,,,,,,,,818,,0.07
1973/07,,,,,,,,,,,488,,0.07
1973/08,,,,,,,,,,,557,,0.07
1973/09,,,,,,,,,,,347,,0.09
1973/10,,,,,,,,,,,883,,0.08
1973/11,,,,,,,,,,,696,,0.07
1973/12,,,,,,,,,,,392,,0.08
1974/01,,,,,,,,,,,692,,0.08
1974/02,,,,,,,,,,,413,,0.08
1974/03,,,,,,,,,,,623,,0.08
1974/04,,,,,,,,,,,824,,0.09
1974/05,,,,,,,,,,,510,,0.10
1974/06,,,,,,,,,,,948,,0.10
1974/07,,,,,,,,,,,549,,0.10
1974/08,,,,,,,,,,,374,,0.10
1978/06,,,,,,,,,,,1312,,0.09
1978/07,,,,,,,,,,,1428,,0.09
1978/08,,,,,,,,,,,1128,,0.08
1978/09,,,,,,,,,,,1628,,0.09
1978/10,,,,,,,,,,,923,,0.08
1978/11,,,,,,,,,,,1798,,0.08
1974/09,,,,,,,,,,,357,,0.10
1974/10,,,,,,,,,,,415,,0.12
1974/11,,,,,,,,,,,412,,0.13
1974/12,,,,,,,,,,,370,,0.12
1975/01,,,,,,,,,,,299,,0.12
1975/02,,,,,,,,,,,312,,0.12
1975/03,,,,,,,,,,,432,,0.11
1975/04,,,,,,,,,,,551,,0.12
1975/05,,,,,,,,,,,489,,0.10
1975/06,,,,,,,,,,,653,,0.11
1975/07,,,,,,,,,,,623,,0.11
1975/08,,,,,,,,,,,586,,0.12
1975/09,,,,,,,,,,,791,,0.12
1975/10,,,,,,,,,,,878,,0.11
1975/11,,,,,,,,,,,657,,0.11
1975/12,,,,,,,,,,,1601,,0.11
1976/01,,,,,,,,,,,429,,0.10
1976/02,,,,,,,,,,,969,,0.10
1976/03,,,,,,,,,,,931,,0.11
1976/04,,,,,,,,,,,1696,,0.10
1976/05,,,,,,,,,,,797,,0.10
1976/06,,,,,,,,,,,917,,0.09
1976/07,,,,,,,,,,,1285,,0.08
1977/02,,,,,,,,,,,579,,0.07
1977/03,,,,,,,,,,,468,,0.08
1977/04,,,,,,,,,,,1227,,0.09
1977/05,,,,,,,,,,,1246,,0.08
1977/06,,,,,,,,,,,1200,,0.08
1977/07,,,,,,,,,,,1489,,0.09
1977/08,,,,,,,,,,,1405,,0.09
1977/09,,,,,,,,,,,1202,,0.09
1977/10,,,,,,,,,,,849,,0.09
1977/11,,,,,,,,,,,1723,,0.09
1977/12,,,,,,,,,,,1473,,0.09
1978/01,,,,,,,,,,,2003,,0.08
1978/02,,,,,,,,,,,1170,,0.08
1978/03,,,,,,,,,,,1316,,0.09
1978/04,,,,,,,,,,,905,,0.08
1978/05,,,,,,,,,,,917,,0.08
1983/12,,,,,,,,,,,104,,0.03
1984/01,,,,,,,,,,,142,,0.03
1984/02,,,,,,,,,,,57,,0.04
1984/03,,,,,,,,,,,127,,0.03
1984/04,,,,,,,,,,,105,,0.02
1984/05,,,,,,,,,,,306,,0.02
1984/06,,,,,,,,,,,202,,0.02
1978/12,,,,,,,,,,,854,,0.08
1979/01,,,,,,,,,,,1519,,0.08
1979/02,,,,,,,,,,,713,,0.09
1979/03,,,,,,,,,,,1016,,0.08
1979/04,,,,,,,,,,,800,,0.09
1979/05,,,,,,,,,,,809,,0.09
1979/06,,,,,,,,,,,1029,,0.08
1979/07,,,,,,,,,,,953,,0.08
1979/08,,,,,,,,,,,1363,,0.08
1979/09,,,,,,,,,,,821,,0.09
1979/10,,,,,,,,,,,909,,0.09
1979/11,,,,,,,,,,,1289,,0.09
1979/12,,,,,,,,,,,1162,,0.09
1980/01,,,,,,,,,,,419,,0.10
1980/02,,,,,,,,,,,668,,0.09
1980/03,,,,,,,,,,,924,,0.09
1980/04,,,,,,,,,,,661,,0.09
1980/05,,,,,,,,,,,908,,0.09
1980/06,,,,,,,,,,,1185,,0.10
1980/07,,,,,,,,,,,958,,0.10
1980/08,,,,,,,,,,,937,,0.11
1980/09,,,,,,,,,,,905,,0.11
1980/10,,,,,,,,,,,1120,,0.12
1980/11,,,,,,,,,,,1472,,0.13
1980/12,,,,,,,,,,,947,,0.13
1981/01,,,,,,,,,,,998,,0.13
1985/01,,,,,,,,,,,118,,0.02
1985/02,,,,,,,,,,,73,,0.02
1985/03,,,,,,,,,,,66,,0.03
1985/04,,,,,,,,,,,76,,0.03
1985/05,,,,,,,,,,,202,,0.03
1981/02,,,,,,,,,,,847,,0.13
1981/03,,,,,,,,,,,919,,0.14
1981/04,,,,,,,,,,,1640,,0.14
1981/05,,,,,,,,,,,1455,,0.13
1981/06,,,,,,,,,,,1718,,0.14
1981/07,,,,,,,,,,,1364,,0.14
1981/08,,,,,,,,,,,1260,,0.14
1981/09,,,,,,,,,,,1611,,0.14
1981/10,,,,,,,,,,,1252,,0.13
1981/11,,,,,,,,,,,650,,0.12
1981/12,,,,,,,,,,,1458,,0.12
1982/01,,,,,,,,,,,635,,0.13
1982/02,,,,,,,,,,,536,,0.13
1982/03,,,,,,,,,,,619,,0.14
1982/04,,,,,,,,,,,1221,,0.13
1982/05,,,,,,,,,,,998,,0.13
1982/06,,,,,,,,,,,2036,,0.13
1982/07,,,,,,,,,,,875,,0.12
1982/08,,,,,,,,,,,499,,0.12
1982/09,,,,,,,,,,,333,,0.12
1982/10,,,,,,,,,,,485,,0.11
1982/11,,,,,,,,,,,892,,0.10
1982/12,,,,,,,,,,,470,,0.09
1983/01,,,,,,,,,,,787,,0.08
1983/02,,,,,,,,,,,229,,0.07
1983/03,,,,,,,,,,,522,,0.06
1983/04,,,,,,,,,,,500,,0.06
1983/05,,,,,,,,,,,1076,,0.06
1983/06,,,,,,,,,,,699,,0.04
1983/07,,,,,,,,,,,161,,0.04
1983/08,,,,,,,,,,,208,,0.03
1983/09,,,,,,,,,,,176,,0.02
1983/10,,,,,,,,,,,176,,0.02
1983/11,,,,,,,,,,,244,,0.02
1984/07,,,,,,,,,,,209,,0.03
1984/08,,,,,,,,,,,192,,0.03
1984/09,,,,,,,,,,,172,,0.03
1984/10,,,,,,,,,,,119,,0.02
1984/11,,,,,,,,,,,102,,0.02
1984/12,,,,,,,,,,,70,,0.02
2024/05,0.08,0.07,0.06,990.8,13.5,43.9,38.70,400911094.54,105689098.75,1637,1996,3.54,0.04
1989/03,0.08,0.08,0.09,409.6,,,,,,,407,,0.02
1989/04,0.07,0.08,0.09,413.3,,,,,,,358,,0.02
1989/05,0.07,0.08,0.08,418.7,,,,,,,633,,0.03
1989/06,0.07,0.07,0.08,421.8,,,,,,,572,,0.04
1989/07,0.07,0.07,0.07,423.5,,,,,,,741,,0.05
1985/06,,,,,,,,,,,152,,0.03
1985/07,,,,,,,,,,,234,,0.03
1985/08,,,,,,,,,,,243,,0.03
1985/09,,,,,,,,,,,283,,0.03
1985/10,,,,,,,,,,,304,,0.03
1985/11,,,,,,,,,,,336,,0.03
1985/12,,,,,,,,,,,231,,0.03
1986/01,,,,,,,,,,,225,,0.04
1986/02,,,,,,,,,,,177,,0.04
1986/03,,,,,,,,,,,251,,0.04
1986/04,,,,,,,,,,,196,,0.03
1986/05,,,,,,,,,,,278,,0.03
1986/06,,,,,,,,,,,159,,0.03
1986/07,,,,,,,,,,,146,,0.04
1986/08,,,,,,,,,,,176,,0.04
1986/09,,,,,,,,,,,169,,0.04
1986/10,,,,,,,,,,,176,,0.04
1986/11,,,,,,,,,,,286,,0.03
1986/12,,,,,,,,,,,440,,0.04
1987/01,,,,,,,,,,,97,,0.03
1987/02,,,,,,,,,,,104,,0.03
1987/03,0.12,0.12,0.11,373.2,,,,,,,223,,0.03
1987/04,0.11,0.11,0.10,376.4,,,,,,,182,,0.04
1987/05,0.10,0.11,0.10,384.6,,,,,,,408,,0.04
1987/06,0.09,0.10,0.09,387.8,,,,,,,389,,0.05
1987/07,0.09,0.10,0.09,393.8,,,,,,,367,,0.04
1987/08,0.09,0.10,0.08,394.8,,,,,,,413,,0.04
1987/09,0.09,0.09,0.08,396.8,,,,,,,317,,0.04
1987/10,0.08,0.09,0.08,398,,,,,,,320,,0.03
1987/11,0.07,0.08,0.08,399.1,,,,,,,404,,0.04
1987/12,0.07,0.08,0.08,401.3,,,,,,,242,,0.04
1988/01,0.07,0.08,0.08,397.9,,,,,,,290,,0.04
1988/02,0.08,0.09,0.09,396.5,,,,,,,214,,0.04
1988/03,0.08,0.09,0.09,393.6,,,,,,,183,,0.04
1989/11,0.06,0.06,0.07,410.5,,,,,,,710,,0.06
1989/12,0.06,0.06,0.07,414.4,,,,,,,470,,0.07
1990/01,0.06,0.07,0.08,413,,,,,,735,813,,0.07
1990/02,0.07,0.07,0.08,411.5,,,,,,578,619,,0.07
1988/04,0.08,0.09,0.09,394.1,,,,,,,334,,0.04
1988/05,0.08,0.09,0.08,396,,,,,,,217,,0.03
1988/06,0.07,0.08,0.08,401.1,,,,,,,343,,0.02
1988/07,0.08,0.08,0.08,406.7,,,,,,,241,,0.02
1988/08,0.08,0.08,0.08,410.7,,,,,,,439,,0.02
1988/09,0.08,0.08,0.08,410.3,,,,,,,396,,0.02
1988/10,0.08,0.08,0.07,409.5,,,,,,,377,,0.02
1988/11,0.08,0.07,0.07,405.4,,,,,,,455,,0.02
1988/12,0.08,0.08,0.07,405.7,,,,,,,311,,0.01
1989/01,0.08,0.08,0.08,404.5,,,,,,,297,,0.01
1989/02,0.07,0.08,0.08,407.8,,,,,,,301,,0.02
1989/08,0.08,0.07,0.07,421.3,,,,,,,469,,0.05
1989/09,0.08,0.07,0.07,415.1,,,,,,,543,,0.05
1989/10,0.07,0.07,0.07,413.4,,,,,,,727,,0.05
2024/07,0.07,0.07,0.06,999.3,2.3,21.8,38.90,488908950.48,134006766.59,2081,2471,3.65,0.03
1991/10,0.08,0.08,0.10,425.2,,,,,,335,419,,0.05
1991/11,0.09,0.08,0.10,418.6,,,,,,412,452,,0.04
1991/12,0.09,0.09,0.10,414.1,,,,,,362,416,,0.04
1992/01,0.10,0.09,0.11,408,,,,,,258,300,,0.01
1990/03,0.07,0.07,0.09,410.7,,,,,,684,730,,0.06
1990/04,0.07,0.07,0.08,413.4,,,,,,896,963,,0.07
1990/05,0.07,0.07,0.08,417.5,,,,,,843,906,,0.06
1990/06,0.06,0.07,0.08,422.2,,,,,,361,434,,0.06
1990/07,0.07,0.07,0.08,425.7,,,,,,402,447,,0.05
1990/08,0.07,0.06,0.08,428.3,,,,,,457,493,,0.06
1990/09,0.07,0.07,0.08,428.6,,,,,,288,446,,0.06
1990/10,0.07,0.07,0.08,426.6,,,,,,315,380,,0.06
1990/11,0.07,0.07,0.08,425.1,,,,,,422,474,,0.07
1990/12,0.07,0.07,0.09,423.1,,,,,,278,299,,0.06
1991/01,0.08,0.08,0.10,423,,,,,,134,170,,0.08
1991/02,0.08,0.08,0.10,420.3,,,,,,219,230,,0.07
1991/03,0.08,0.08,0.11,417.9,,,,,,324,324,,0.07
1991/04,0.08,0.08,0.11,416.8,,,,,,360,363,,0.06
1991/05,0.08,0.08,0.11,419.5,,,,,,454,535,,0.07
1991/06,0.08,0.08,0.10,424.3,,,,,,473,534,,0.06
1991/07,0.08,0.08,0.10,427.5,,,,,,381,422,,0.06
1991/08,0.09,0.08,0.10,429.9,,,,,,398,462,,0.06
1991/09,0.09,0.08,0.10,427.3,,,,,,344,423,,0.06
2024/08,0.07,0.07,0.07,1007,7.7,16.3,38.90,585568478.74,174633124.42,1437,1675,,0.02
2022/09,0.06,0.05,0.05,961,-2.8,78.7,35.80,287074547.66,253065860.51,1392,1679,3.49,0.07
2022/10,0.06,0.05,0.05,955.1,-5.9,58.9,36.50,333452063.65,82259277.11,1427,1688,3.56,0.07
2022/11,0.06,0.05,0.05,950.7,-4.4,56.5,36.90,298219825.60,81111569.78,1501,1673,3.55,0.07
2022/12,0.06,0.05,0.05,940.4,-10.3,45.9,37.10,268663931.61,77365984.70,901,1080,3.56,0.07
2023/01,0.06,0.06,0.05,923.5,-16.9,37.3,36.80,245348077.38,78967764.61,1098,1295,3.69,0.06
2023/02,0.07,0.06,0.05,914.3,-9.2,19.6,36.50,273547134.68,125362128.77,1032,1238,3.46,0.04
2023/03,0.07,0.06,0.05,916.3,2,20.9,36.20,342615396.72,140049719.89,937,1094,3.39,0.04
2023/04,0.06,0.06,0.05,931.9,15.6,24.3,36.30,413368454.52,109729397.25,904,1164,3.39,0.05
2023/05,0.06,0.06,0.05,946.9,15,28.1,36.10,483435713.28,106588927.01,1836,2076,3.49,0.03
2023/06,0.06,0.06,0.05,966,19.1,27.3,36.00,395633065.29,83305426.69,1025,1239,3.43,0.02
2023/07,0.06,0.06,0.05,977.5,11.5,20.4,35.70,332245338.44,123344164.35,1444,1621,3.36,0.03
2023/08,0.06,0.06,0.06,990.7,13.2,26.9,36.10,561750506.10,211805287.22,1486,1680,3.44,0.05
2023/09,0.06,0.06,0.06,983.4,-7.3,22.4,36.80,346825794.77,176903406.63,2486,2734,3.45,0.04
2023/10,0.06,0.06,0.06,975.6,-7.8,20.5,37.30,370333178.81,90200733.48,1641,2137,3.52,0.03
2023/11,0.05,0.05,0.05,965.2,-10.4,14.5,37.40,355786087.37,163101286.00,1549,1808,3.45,0.03
2023/12,0.05,0.06,0.05,965,-0.2,24.6,36.90,335719575.27,106885265.92,1241,1493,3.42,0.04
2024/01,0.06,0.06,0.06,968.5,3.5,45,36.90,329729985.97,128337188.57,1491,1951,3.46,0.04
2024/02,0.06,0.06,0.06,963.6,-4.9,49.3,37.00,471851756.77,188177695.80,1328,1674,3.35,0.05
2024/03,0.07,0.07,0.06,971.2,7.6,54.9,37.60,454920370.33,356523961.33,1535,1760,3.42,0.04
2024/04,0.08,0.07,0.06,977.3,6.1,45.4,38.10,893854198.02,387652626.91,1467,1831,3.52,0.04
2024/06,0.08,0.07,0.06,997,6.2,31,38.90,457869322.20,212348013.46,1496,1966,3.58,0.04
